Date(UTC),Time,Order No,Pair,Type,Order Price,Order Amount,Avg Trading Price,Filled,Total,status,,BTC Receive,BTC Pay,USDT Receive,USDT Pay,BTC Wallet Ballance,USDT Wallet Ballance,BTC Wallet Ballance Est USDT,Both Wallet Ballance (USDT),Spot Profit (USDT),Running Tot Profit (USDT),Daily Running Tot Profit (USDT),Trade Number,Daily % Profit,% Profit Since Start,Day Number,
,,,,,,,,,,,,,,,,1e-05, 104.5162
18/12/2022, 00:09:39, 2147483647, BTCUSDT, BUY , 0, 0.00623000, 16756.634, 0.00623000, 104.39383, Filled, , 0.00623, , , -104.39383, 0.00624, 0.12237, 104.56140, 104.68377, 0.00000, 0.00000, 0.00000
18/12/2022, 00:22:57, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16753.522, 0.00624000, 104.54197, Filled, , , -0.00624, 104.54197, , 0.00000, 104.66434, 0.00000, 104.66434, -0.01942, -0.01942, -0.01942, 1
18/12/2022, 01:18:11, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16726.675, 0.00625000, 104.54172, Filled, , 0.00625, , , -104.54172, 0.00625, 0.12262, 104.54172, 104.66434, 0.00000, -0.01942, -0.01942
18/12/2022, 01:51:27, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16718.597, 0.00625000, 104.49123, Filled, , , -0.00625, 104.49123, , 0.00000, 104.61386, 0.00000, 104.61386, -0.05049, -0.06991, -0.06991, 2
18/12/2022, 02:31:21, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16730.660, 0.00625000, 104.56663, Filled, , 0.00625, , , -104.56663, 0.00625, 0.04723, 104.56663, 104.61386, 0.00000, -0.06991, -0.06991
18/12/2022, 02:35:54, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16728.740, 0.00624000, 104.38734, Filled, , , -0.00624, 104.38734, , 0.00001, 104.43457, 0.16729, 104.60186, -0.01200, -0.08191, -0.08191, 3
18/12/2022, 03:00:14, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16732.107, 0.00624000, 104.40834, Filled, , 0.00624, , , -104.40834, 0.00625, 0.02623, 104.57567, 104.60189, 0.00003, -0.08188, -0.08188
18/12/2022, 03:02:33, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16730.480, 0.00624000, 104.39820, Filled, , , -0.00624, 104.39820, , 0.00001, 104.42442, 0.16730, 104.59173, -0.01017, -0.09204, -0.09204, 4
18/12/2022, 03:09:13, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16726.440, 0.00624000, 104.37299, Filled, , 0.00624, , , -104.37299, 0.00625, 0.05143, 104.54025, 104.59168, -0.00004, -0.09208, -0.09208
18/12/2022, 03:21:17, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16731.851, 0.00624000, 104.40675, Filled, , , -0.00624, 104.40675, , 0.00001, 104.45818, 0.16732, 104.62550, 0.03382, -0.05826, -0.05826, 5
18/12/2022, 04:42:18, 2147483647, BTCUSDT, BUY , 0.00, 0.00622000, 16771.970, 0.00622000, 104.32165, Filled, , 0.00622, , , -104.32165, 0.00623, 0.13653, 104.48937, 104.62590, 0.00040, -0.05786, -0.05786
18/12/2022, 04:54:28, 2147483647, BTCUSDT, SELL, 0.00, 0.00623000, 16773.665, 0.00623000, 104.49993, Filled, , , -0.00623, 104.49993, , 0.00000, 104.63646, 0.00000, 104.63646, 0.01056, -0.04730, -0.04730, 6
18/12/2022, 05:11:12, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16752.020, 0.00624000, 104.53260, Filled, , 0.00624, , , -104.53260, 0.00624, 0.10386, 104.53260, 104.63646, 0.00000, -0.04730, -0.04730
18/12/2022, 05:26:43, 2147483647, BTCUSDT, SELL, 0.00, 0.00623000, 16756.790, 0.00623000, 104.39480, Filled, , , -0.00623, 104.39480, , 0.00001, 104.49866, 0.16757, 104.66623, 0.02976, -0.01754, -0.01754, 7
18/12/2022, 06:11:06, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16741.210, 0.00624000, 104.46515, Filled, , 0.00624, , , -104.46515, 0.00625, 0.03351, 104.63256, 104.66607, -0.00016, -0.01769, -0.01769
18/12/2022, 06:14:15, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16741.710, 0.00624000, 104.46827, Filled, , , -0.00624, 104.46827, , 0.00001, 104.50178, 0.16742, 104.66920, 0.00312, -0.01457, -0.01457, 8
18/12/2022, 06:46:35, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16727.815, 0.00624000, 104.38156, Filled, , 0.00624, , , -104.38156, 0.00625, 0.12022, 104.54884, 104.66906, -0.00014, -0.01471, -0.01471
18/12/2022, 06:54:14, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16734.110, 0.00624000, 104.42085, Filled, , , -0.00624, 104.42085, , 0.00001, 104.54106, 0.16734, 104.70840, 0.03935, 0.02464, 0.02464, 9
18/12/2022, 08:27:21, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16744.125, 0.00624000, 104.48334, Filled, , 0.00624, , , -104.48334, 0.00625, 0.05772, 104.65078, 104.70850, 0.00010, 0.02474, 0.02474
18/12/2022, 08:38:25, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16751.833, 0.00624000, 104.53144, Filled, , , -0.00624, 104.53144, , 0.00001, 104.58916, 0.16752, 104.75668, 0.04818, 0.07292, 0.07292, 10
18/12/2022, 09:07:13, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16748.282, 0.00624000, 104.50928, Filled, , 0.00624, , , -104.50928, 0.00625, 0.07988, 104.67677, 104.75665, -0.00004, 0.07288, 0.07288
18/12/2022, 09:46:11, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16721.530, 0.00624000, 104.34235, Filled, , , -0.00624, 104.34235, , 0.00001, 104.42223, 0.16722, 104.58944, -0.16720, -0.09432, -0.09432, 11
18/12/2022, 11:22:35, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16703.398, 0.00625000, 104.39624, Filled, , 0.00625, , , -104.39624, 0.00626, 0.02599, 104.56327, 104.58926, -0.00018, -0.09450, -0.09450
18/12/2022, 11:32:28, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16717.350, 0.00625000, 104.48344, Filled, , , -0.00625, 104.48344, , 0.00001, 104.50943, 0.16717, 104.67660, 0.08734, -0.00716, -0.00716, 12
18/12/2022, 12:00:13, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16712.141, 0.00625000, 104.45088, Filled, , 0.00625, , , -104.45088, 0.00626, 0.05855, 104.61800, 104.67655, -0.00005, -0.00722, -0.00722
18/12/2022, 12:04:46, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16718.020, 0.00625000, 104.48762, Filled, , , -0.00625, 104.48762, , 0.00001, 104.54617, 0.16718, 104.71335, 0.03680, 0.02959, 0.02959, 13
18/12/2022, 12:21:19, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16707.890, 0.00625000, 104.42431, Filled, , 0.00625, , , -104.42431, 0.00626, 0.12186, 104.59139, 104.71325, -0.00010, 0.02948, 0.02948
18/12/2022, 12:27:00, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16709.348, 0.00625000, 104.43342, Filled, , , -0.00625, 104.43342, , 0.00001, 104.55528, 0.16709, 104.72238, 0.00913, 0.03861, 0.03861, 14
18/12/2022, 13:08:06, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16718.244, 0.00625000, 104.48902, Filled, , 0.00625, , , -104.48902, 0.00626, 0.06626, 104.65620, 104.72247, 0.00009, 0.03870, 0.03870
18/12/2022, 13:16:56, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16722.312, 0.00625000, 104.51445, Filled, , , -0.00625, 104.51445, , 0.00001, 104.58071, 0.16722, 104.74794, 0.02547, 0.06417, 0.06417, 15
18/12/2022, 13:43:27, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16706.636, 0.00625000, 104.41648, Filled, , 0.00625, , , -104.41648, 0.00626, 0.16424, 104.58354, 104.74778, -0.00016, 0.06401, 0.06401
18/12/2022, 13:57:58, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16709.284, 0.00625000, 104.43303, Filled, , , -0.00625, 104.43303, , 0.00001, 104.59726, 0.16709, 104.76436, 0.01658, 0.08059, 0.08059, 16
18/12/2022, 16:41:08, 2147483647, BTCUSDT, BUY , 0.00, 0.00626000, 16687.430, 0.00626000, 104.46331, Filled, , 0.00626, , , -104.46331, 0.00627, 0.13395, 104.63019, 104.76414, -0.00022, 0.08037, 0.08037
18/12/2022, 16:56:40, 2147483647, BTCUSDT, SELL, 0.00, 0.00626000, 16693.425, 0.00626000, 104.50084, Filled, , , -0.00626, 104.50084, , 0.00001, 104.63479, 0.16693, 104.80173, 0.03759, 0.11796, 0.11796, 17
18/12/2022, 18:37:38, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16754.532, 0.00624000, 104.54828, Filled, , 0.00624, , , -104.54828, 0.00625, 0.08651, 104.71582, 104.80234, 0.00061, 0.11857, 0.11857
18/12/2022, 19:02:02, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16745.915, 0.00624000, 104.49451, Filled, , , -0.00624, 104.49451, , 0.00001, 104.58102, 0.16746, 104.74848, -0.05386, 0.06472, 0.06472, 18
18/12/2022, 19:48:37, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16740.804, 0.00624000, 104.46262, Filled, , 0.00624, , , -104.46262, 0.00625, 0.11841, 104.63002, 104.74843, -0.00005, 0.06466, 0.06466
18/12/2022, 20:05:16, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16759.794, 0.00625000, 104.74871, Filled, , , -0.00625, 104.74871, , -0.00000, 104.86712, -0.00000, 104.86712, 0.11869, 0.18335, 0.18335, 19
18/12/2022, 20:56:11, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16756.342, 0.00625000, 104.72714, Filled, , 0.00625, , , -104.72714, 0.00625, 0.13998, 104.72714, 104.86712, 0.00000, 0.18335, 0.18335
18/12/2022, 21:09:37, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16771.909, 0.00624000, 104.65671, Filled, , , -0.00624, 104.65671, , 0.00001, 104.79669, 0.16772, 104.96441, 0.09729, 0.28064, 0.28064, 20
18/12/2022, 21:24:02, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16741.870, 0.00625000, 104.63669, Filled, , 0.00625, , , -104.63669, 0.00626, 0.16000, 104.80411, 104.96411, -0.00030, 0.28034, 0.28034
18/12/2022, 21:38:19, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16742.920, 0.00625000, 104.64325, Filled, , , -0.00625, 104.64325, , 0.00001, 104.80325, 0.16743, 104.97068, 0.00657, 0.28692, 0.28692, 21
18/12/2022, 21:39:36, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16745.230, 0.00625000, 104.65769, Filled, , 0.00625, , , -104.65769, 0.00626, 0.14557, 104.82514, 104.97071, 0.00002, 0.28694, 0.28694
18/12/2022, 21:41:46, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16745.550, 0.00625000, 104.65969, Filled, , , -0.00625, 104.65969, , 0.00001, 104.80525, 0.16746, 104.97271, 0.00200, 0.28894, 0.28894, 22
18/12/2022, 23:31:26, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16781.650, 0.00624000, 104.71750, Filled, , 0.00624, , , -104.71750, 0.00625, 0.08776, 104.88531, 104.97307, 0.00036, 0.28930, 0.28930, 22.5, 0.27636%, 0.27636%, 1

19/12/2022, 00:17:02, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16758.420, 0.00624000, 104.57254, Filled, , , -0.00624, 104.57254, , 0.00001, 104.66030, 0.16758, 104.82788, -0.14519, 0.14412, -0.14519, 1
19/12/2022, 00:49:08, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16771.010, 0.00624000, 104.65110, Filled, , 0.00624, , , -104.65110, 0.00625, 0.00920, 104.81881, 104.82801, 0.00013, 0.14424, -0.14506
19/12/2022, 00:58:01, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16779.390, 0.00625000, 104.87119, Filled, , , -0.00625, 104.87119, , -0.00000, 104.88038, -0.00000, 104.88038, 0.05238, 0.19662, -0.09269, 2
19/12/2022, 01:56:46, 2147483647, BTCUSDT, BUY , 0.00, 0.00624000, 16782.164, 0.00624000, 104.72070, Filled, , 0.00624, , , -104.72070, 0.00624, 0.15968, 104.72070, 104.88038, 0.00000, 0.19662, -0.09269
19/12/2022, 02:02:11, 2147483647, BTCUSDT, SELL, 0.00, 0.00624000, 16778.370, 0.00624000, 104.69703, Filled, , , -0.00624, 104.69703, , -0.00000, 104.85671, -0.00000, 104.85671, -0.02367, 0.17294, -0.11636, 3
19/12/2022, 02:27:49, 2147483647, BTCUSDT, BUY , 0.00, 0.00625000, 16756.560, 0.00625000, 104.72850, Filled, , 0.00625, , , -104.72850, 0.00625, 0.12821, 104.72850, 104.85671, 0.00000, 0.17294, -0.11636
19/12/2022, 02:53:08, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16736.810, 0.00625000, 104.60506, Filled, , , -0.00625, 104.60506, , -0.00000, 104.73327, -0.00000, 104.73327, -0.12344, 0.04951, -0.23980, 4
19/12/2022, 03:47:35, 2147483647, BTCUSDT, BUY , 0.00, 0.00628000, 16666.157, 0.00628000, 104.66347, Filled, , 0.00628, , , -104.66347, 0.00628, 0.06981, 104.66347, 104.73327, 0.00000, 0.04951, -0.23980
19/12/2022, 03:54:11, 2147483647, BTCUSDT, SELL, 0.00, 0.00627000, 16679.140, 0.00627000, 104.57821, Filled, , , -0.00627, 104.57821, , 0.00001, 104.64801, 0.16679, 104.81481, 0.08153, 0.13104, -0.15827, 5
19/12/2022, 05:05:07, 2147483647, BTCUSDT, BUY , 0.00, 0.00626000, 16712.132, 0.00626000, 104.61795, Filled, , 0.00626, , , -104.61795, 0.00627, 0.03007, 104.78507, 104.81514, 0.00033, 0.13137, -0.15794
19/12/2022, 05:12:52, 2147483647, BTCUSDT, SELL, 0.00, 0.00626000, 16714.710, 0.00626000, 104.63408, Filled, , , -0.00626, 104.63408, , 0.00001, 104.66415, 0.16715, 104.83130, 0.01616, 0.14753, -0.14177, 6
19/12/2022, 05:43:55, 2147483647, BTCUSDT, BUY , 0.00, 0.00626000, 16707.514, 0.00626000, 104.58904, Filled, , 0.00626, , , -104.58904, 0.00627, 0.07511, 104.75611, 104.83123, -0.00007, 0.14746, -0.14184
19/12/2022, 05:50:33, 2147483647, BTCUSDT, SELL, 0.00, 0.00627000, 16717.550, 0.00627000, 104.81904, Filled, , , -0.00627, 104.81904, , -0.00000, 104.89415, -0.00000, 104.89415, 0.06293, 0.21039, -0.07892, 7
19/12/2022, 07:43:46, 2147483647, BTCUSDT, BUY , 0.00, 0.00627000, 16713.130, 0.00627000, 104.79133, Filled, , 0.00627, , , -104.79133, 0.00627, 0.10283, 104.79133, 104.89415, 0.00000, 0.21039, -0.07892
19/12/2022, 08:04:51, 2147483647, BTCUSDT, SELL, 0.00, 0.00627000, 16729.360, 0.00627000, 104.89309, Filled, , , -0.00627, 104.89309, , -0.00000, 104.99591, -0.00000, 104.99591, 0.10176, 0.31215, 0.02284, 8
19/12/2022, 10:40:02, 2147483647, BTCUSDT, BUY , 0.00, 0.00626000, 16770.830, 0.00626000, 104.98540, Filled, , 0.00626, , , -104.98540, 0.00626, 0.01052, 104.98540, 104.99591, 0.00000, 0.31215, 0.02284
19/12/2022, 10:43:17, 2147483647, BTCUSDT, SELL, 0.00, 0.00626000, 16767.680, 0.00626000, 104.96568, Filled, , , -0.00626, 104.96568, , -0.00000, 104.97620, -0.00000, 104.97620, -0.01972, 0.29243, 0.00313, 9
19/12/2022, 13:14:11, 2147483647, BTCUSDT, BUY , 0.00, 0.00626000, 16746.710, 0.00626000, 104.83440, Filled, , 0.00626, , , -104.83440, 0.00626, 0.14179, 104.83440, 104.97620, 0.00000, 0.29243, 0.00313
19/12/2022, 13:19:42, 2147483647, BTCUSDT, SELL, 0.00, 0.00625000, 16744.080, 0.00625000, 104.65050, Filled, , , -0.00625, 104.65050, , 0.00001, 104.79229, 0.16744, 104.95973, -0.01646, 0.27597, -0.01334, 10
19/12/2022, 13:50:43, 2147483647, BTCUSDT, BUY , 0.00, 0.00626000, 16722.828, 0.00626000, 104.68490, Filled, , 0.00626, , , -104.68490, 0.00627, 0.10739, 104.85213, 104.95952, -0.00021, 0.27575, -0.01355
19/12/2022, 13:57:18, 2147483647, BTCUSDT, SELL, 0.00, 0.00626000, 16724.270, 0.00626000, 104.69393, Filled, , , -0.00626, 104.69393, , 0.00001, 104.80132, 0.16724, 104.96856, 0.00904, 0.28480, -0.00451, 11
19/12/2022, 15:46:05, 2147483647, BTCUSDT, BUY , 0.00, 0.00627000, 16702.930, 0.00627000, 104.72737, Filled, , 0.00627, , , -104.72737, 0.00628, 0.07395, 104.89440, 104.96835, -0.00021, 0.28458, -0.00472
19/12/2022, 16:10:18, 2147483647, BTCUSDT, SELL, 0.00, 0.00627000, 16677.400, 0.00627000, 104.56730, Filled, , , -0.00627, 104.56730, , 0.00001, 104.64125, 0.16677, 104.80802, -0.16033, 0.12425, -0.16505, 12
19/12/2022, 16:30:16, 2147483647, BTCUSDT, BUY , 0.00, 0.00628000, 16638.690, 0.00628000, 104.49097, Filled, , 0.00628, , , -104.49097, 0.00629, 0.15027, 104.65736, 104.80763, -0.00039, 0.12387, -0.16544
19/12/2022, 16:52:26, 2147483647, BTCUSDT, SELL, 0.00, 0.00629000, 16639.500, 0.00629000, 104.66245, Filled, , , -0.00629, 104.66245, , -0.00000, 104.81273, -0.00000, 104.81273, 0.00509, 0.12896, -0.16034, 13
19/12/2022, 18:43:20, 2147483647, BTCUSDT, BUY , 0.00, 0.00631000, 16593.566, 0.00631000, 104.70540, Filled, , 0.00631, , , -104.70540, 0.00631, 0.10733, 104.70540, 104.81273, 0.00000, 0.12896, -0.16034
19/12/2022, 19:11:08, 2147483647, BTCUSDT, SELL, 0.00, 0.00631000, 16560.930, 0.00631000, 104.49947, Filled, , , -0.00631, 104.49947, , -0.00000, 104.60679, -0.00000, 104.60679, -0.20593, -0.07697, -0.36628, 14
19/12/2022, 19:32:12, 2147483647, BTCUSDT, BUY , 0.00, 0.00631000, 16551.380, 0.00631000, 104.43921, Filled, , 0.00631, , , -104.43921, 0.00631, 0.16759, 104.43921, 104.60679, 0.00000, -0.07697, -0.36628
19/12/2022, 19:34:31, 2147483647, BTCUSDT, SELL, 0.00, 0.00631000, 16552.100, 0.00631000, 104.44375, Filled, , , -0.00631, 104.44375, , -0.00000, 104.61134, -0.00000, 104.61134, 0.00454, -0.07243, -0.36173, 15
19/12/2022, 20:05:27, 2147483647, BTCUSDT, BUY , 0.00, 0.00631000, 16559.610, 0.00631000, 104.49114, Filled, , 0.00631, , , -104.49114, 0.00631, 0.12020, 104.49114, 104.61134, 0.00000, -0.07243, -0.36173
19/12/2022, 20:07:50, 2147483647, BTCUSDT, SELL, 0.00, 0.00630000, 16561.570, 0.00630000, 104.33789, Filled, , , -0.00630, 104.33789, , 0.00001, 104.45809, 0.16562, 104.62370, 0.01237, -0.06006, -0.34937, 16
19/12/2022, 22:04:12, 2147483647, BTCUSDT, BUY , 0.00, 0.00629000, 16595.730, 0.00629000, 104.38714, Filled, , 0.00629, , , -104.38714, 0.00630, 0.07095, 104.55310, 104.62405, 0.00034, -0.05972, -0.34902
19/12/2022, 22:10:57, 2147483647, BTCUSDT, SELL, 0.00, 0.00629000, 16603.710, 0.00629000, 104.43734, Filled, , , -0.00629, 104.43734, , 0.00001, 104.50828, 0.16604, 104.67432, 0.05027, -0.00945, -0.29875, 17
19/12/2022, 23:20:52, 2147483647, BTCUSDT, BUY , 0.00, 0.00637000, 16383.470, 0.00637000, 104.36270, Filled, , 0.00637, , , -104.36270, 0.00638, 0.14558, 104.52654, 104.67212, -0.00220, -0.01165, -0.30095
19/12/2022, 23:28:28, 2147483647, BTCUSDT, SELL, 0.00, 0.00637000, 16420.430, 0.00637000, 104.59814, Filled, , , -0.00637, 104.59814, , 0.00001, 104.74372, 0.16420, 104.90792, 0.23580, 0.22416, -0.06515, 18, -0.06206%, 0.21413%, 2

